Task,Function
seal the Blinds_14, CloseObject(Blinds_14)
lower the Blinds_27, CloseObject(Blinds_27)
pull down the Blinds_39, CloseObject(Blinds_39)
close the Blinds_48, CloseObject(Blinds_48)
shut the Blinds_57, CloseObject(Blinds_57)
draw the Blinds_65 shut, CloseObject(Blinds_65)
snap the Blinds_74 closed, CloseObject(Blinds_74)
close up the Blinds_7, CloseObject(Blinds_7)
close up the Book_83, CloseObject(Book_83)
shut the Book_92, CloseObject(Book_92)
finish the Book_1 by closing, CloseObject(Book_1)
snap the Book_11 shut, CloseObject(Book_11)
close the Book_29 tightly, CloseObject(Book_29)
seal the Book_34, CloseObject(Book_34)
shut the Book_41, CloseObject(Book_41)
close the Box_51, CloseObject(Box_51)
seal the Box_59, CloseObject(Box_59)
latch the Box_67, CloseObject(Box_67)
snap the Box_73 shut, CloseObject(Box_73)
shut the Box_82, CloseObject(Box_82)
secure the Box_91, CloseObject(Box_91)
lock the Box_5, CloseObject(Box_5)
close the Box_6, CloseObject(Box_6)
cover up the Box_7, CloseObject(Box_7)
close the Cabinet_13, CloseObject(Cabinet_13)
shut the Cabinet_24 doors, CloseObject(Cabinet_24)
latch the Cabinet_36, CloseObject(Cabinet_36)
secure the Cabinet_44, CloseObject(Cabinet_44)
snap the Cabinet_52 shut, CloseObject(Cabinet_52)
lock the Cabinet_61, CloseObject(Cabinet_61)
seal the Cabinet_75, CloseObject(Cabinet_75)
slam the Cabinet_48 shut, CloseObject(Cabinet_48)
close the Drawer_84, CloseObject(Drawer_84)
shut the Drawer_93, CloseObject(Drawer_93)
secure the Drawer_02, CloseObject(Drawer_02)
lock the Drawer_10, CloseObject(Drawer_10)
push the Drawer_18 in, CloseObject(Drawer_18)
snap the Drawer_26 shut, CloseObject(Drawer_26)
latch the Drawer_31, CloseObject(Drawer_31)
slide shut the Drawer_14, CloseObject(Drawer_14)
shut the Fridge_40, CloseObject(Fridge_40)
close the Fridge_49, CloseObject(Fridge_49)
seal the Fridge_58, CloseObject(Fridge_58)
Snap the Fridge_66 shut, CloseObject(Fridge_66)
lock the Fridge_72, CloseObject(Fridge_72)
secure the Fridge_81, CloseObject(Fridge_81)
latch the Fridge_89, CloseObject(Fridge_89)
close the Kettle_98, CloseObject(Kettle_98)
shut the Kettle_6 lid, CloseObject(Kettle_6)
secure the Kettle_15, CloseObject(Kettle_15)
snap the Kettle_23 lid shut, CloseObject(Kettle_23)
latch the Kettle_37, CloseObject(Kettle_37)
lock the Kettle_45, CloseObject(Kettle_45)
seal the Kettle_53, CloseObject(Kettle_53)
close the Laptop_60, CloseObject(Laptop_60)
shut the Laptop_69, CloseObject(Laptop_69)
Secure the Laptop_76, CloseObject(Laptop_76)
latch the Laptop_85, CloseObject(Laptop_85)
snap the Laptop_94 shut, CloseObject(Laptop_94)
lock the Laptop_3, CloseObject(Laptop_3)
fold the Laptop_70 close, CloseObject(Laptop_70)
close the LaundryHamperLid_12, CloseObject(LaundryHamperLid_12)
shut the LaundryHamperLid_21, CloseObject(LaundryHamperLid_21)
secure the LaundryHamperLid_30, CloseObject(LaundryHamperLid_30)
latch the LaundryHamperLid_47, CloseObject(LaundryHamperLid_47)
clamp the LaundryHamperLid_19, CloseObject(LaundryHamperLid_19)
lock the LaundryHamperLid_55, CloseObject(LaundryHamperLid_55)
snap the LaundryHamperLid_63 shut, CloseObject(LaundryHamperLid_63)
seal the LaundryHamperLid_78, CloseObject(LaundryHamperLid_78)
close the Microwave_86, CloseObject(Microwave_86)
shut the Microwave_95, CloseObject(Microwave_95)
secure the Microwave_4, CloseObject(Microwave_4)
latch the Microwave_14, CloseObject(Microwave_14)
lock the Microwave_22, CloseObject(Microwave_22)
snap the Microwave_38 shut, CloseObject(Microwave_38)
seal the Microwave_46, CloseObject(Microwave_46)
slam the Microwave_17 shut, CloseObject(Microwave_17)
close the Safe_54, CloseObject(Safe_54)
shut the Safe_62, CloseObject(Safe_62)
secure the Safe_70, CloseObject(Safe_70)
lock the Safe_79, CloseObject(Safe_79)
latch the Safe_87, CloseObject(Safe_87)
snap the Safe_96 shut, CloseObject(Safe_96)
seal the Safe_69 shut, CloseObject(Safe_69)
seal the ShowerCurtain_7, CloseObject(ShowerCurtain_7)
close the ShowerCurtain_16, CloseObject(ShowerCurtain_16)
shut the ShowerCurtain_25, CloseObject(ShowerCurtain_25)
secure the ShowerCurtain_33, CloseObject(ShowerCurtain_33)
latch the ShowerCurtain_42, CloseObject(ShowerCurtain_42)
draw the ShowerCurtain_50 closed, CloseObject(ShowerCurtain_50)
snap the ShowerCurtain_68 shut, CloseObject(ShowerCurtain_68)
fasten the ShowerCurtain_31, CloseObject(ShowerCurtain_31)
close the ShowerDoor_77, CloseObject(ShowerDoor_77)
shut the ShowerDoor_88, CloseObject(ShowerDoor_88)
secure the ShowerDoor_97, CloseObject(ShowerDoor_97)
latch the ShowerDoor_8, CloseObject(ShowerDoor_8)
lock the ShowerDoor_17, CloseObject(ShowerDoor_17)
snap the ShowerDoor_26 shut, CloseObject(ShowerDoor_26)
seal the ShowerDoor_35, CloseObject(ShowerDoor_35)
slam the ShowerDoor_25 shut, CloseObject(ShowerDoor_25)
