Task, Function
is done, "Done"
is done with their tasks, "Done"
has completed their tasks, "Done"
has completed all of their tasks, "Done"
has completed all their tasks, "Done"
has finished their tasks, "Done"
has finsihed all of their tasks, "Done"
has finished all their tasks, "Done"
has executed their tasks, "Done"
has executed all of their tasks, "Done"
has executed all their tasks, "Done"
has accomplished their tasks, "Done"
has accomplished all of their tasks, "Done"
has accomplished all their tasks, "Done"
has executed their tasks, "Done"
has executed all of their tasks, "Done"
has executed all their tasks, "Done"
marked as "Done", "Done"
marked as completed, "Done"
marked as finished, "Done"
mark as "Done", "Done"


