Task,Function
Look up by 90,LookUp(90)
Look up by 90,LookUp(90)
Look up by 150,LookUp(150)
Look up by 150,LookUp(150)
Look up by 60,LookUp(60)
Look up by 60,LookUp(60)
Look up by 90,LookUp(90)
Look up by 90,LookUp(90)
Look up by 120,LookUp(120)
Look up by 120,LookUp(120)
Look up by 30,LookUp(30)
Look up by 30,LookUp(30)
Look up by 30,LookUp(30)
Look up by 30,LookUp(30)
Look up by 150,LookUp(150)
Look up by 150,LookUp(150)
Look up by 30,LookUp(30)
Look up by 30,LookUp(30)
Look up by 30,LookUp(30)
Look up by 30,LookUp(30)
Look up by 30,LookUp(30)
Look up by 30,LookUp(30)
Look up by 120,LookUp(120)
Look up by 120,LookUp(120)
Look above by 90,LookUp(90)
Look above by 90,LookUp(90)
Look above by 150,LookUp(150)
Look above by 150,LookUp(150)
Look above by 60,LookUp(60)
Look above by 60,LookUp(60)
Look above by 90,LookUp(90)
Look above by 90,LookUp(90)
Look above by 120,LookUp(120)
Look above by 120,LookUp(120)
Look above by 30,LookUp(30)
Look above by 30,LookUp(30)
Look above by 30,LookUp(30)
Look above by 30,LookUp(30)
Look above by 150,LookUp(150)
Look above by 150,LookUp(150)
Look above by 30,LookUp(30)
Look above by 30,LookUp(30)
Look above by 30,LookUp(30)
Look above by 30,LookUp(30)
Look above by 30,LookUp(30)
Look above by 30,LookUp(30)
Look above by 120,LookUp(120)
Look above by 120,LookUp(120)
