Task,Function
Proceed to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Proceed to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Proceed to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Proceed to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Proceed to Pan_0,NavigateTo(Pan_0)
Proceed to Pan_1,NavigateTo(Pan_1)
Proceed to Cup_0,NavigateTo(Cup_0)
Proceed to Cup_1,NavigateTo(Cup_1)
Proceed to Shelf_0,NavigateTo(Shelf_0)
Proceed to Shelf_1,NavigateTo(Shelf_1)
Proceed to Bed_0,NavigateTo(Bed_0)
Proceed to Bed_1,NavigateTo(Bed_1)
Proceed to ToiletPaperHanger_0,NavigateTo(ToiletPaperHanger_0)
Proceed to ToiletPaperHanger_1,NavigateTo(ToiletPaperHanger_1)
Proceed to Bed_0,NavigateTo(Bed_0)
Proceed to Bed_1,NavigateTo(Bed_1)
Proceed to Cup_0,NavigateTo(Cup_0)
Proceed to Cup_1,NavigateTo(Cup_1)
Proceed to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Proceed to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Proceed to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Proceed to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Proceed to Box_0,NavigateTo(Box_0)
Proceed to Box_1,NavigateTo(Box_1)
Head towards CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Head towards CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Head towards BathtubBasin_0,NavigateTo(BathtubBasin_0)
Head towards BathtubBasin_1,NavigateTo(BathtubBasin_1)
Head towards Pan_0,NavigateTo(Pan_0)
Head towards Pan_1,NavigateTo(Pan_1)
Head towards Cup_0,NavigateTo(Cup_0)
Head towards Cup_1,NavigateTo(Cup_1)
Head towards Shelf_0,NavigateTo(Shelf_0)
Head towards Shelf_1,NavigateTo(Shelf_1)
Head towards Bed_0,NavigateTo(Bed_0)
Head towards Bed_1,NavigateTo(Bed_1)
Head towards ToiletPaperHanger_0,NavigateTo(ToiletPaperHanger_0)
Head towards ToiletPaperHanger_1,NavigateTo(ToiletPaperHanger_1)
Head towards Bed_0,NavigateTo(Bed_0)
Head towards Bed_1,NavigateTo(Bed_1)
Head towards Cup_0,NavigateTo(Cup_0)
Head towards Cup_1,NavigateTo(Cup_1)
Head towards CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Head towards CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Head towards BathtubBasin_0,NavigateTo(BathtubBasin_0)
Head towards BathtubBasin_1,NavigateTo(BathtubBasin_1)
Head towards Box_0,NavigateTo(Box_0)
Head towards Box_1,NavigateTo(Box_1)
Go to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Go to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Go to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Go to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Go to Pan_0,NavigateTo(Pan_0)
Go to Pan_1,NavigateTo(Pan_1)
Go to Cup_0,NavigateTo(Cup_0)
Go to Cup_1,NavigateTo(Cup_1)
Go to Shelf_0,NavigateTo(Shelf_0)
Go to Shelf_1,NavigateTo(Shelf_1)
Go to Bed_0,NavigateTo(Bed_0)
Go to Bed_1,NavigateTo(Bed_1)
Go to ToiletPaperHanger_0,NavigateTo(ToiletPaperHanger_0)
Go to ToiletPaperHanger_1,NavigateTo(ToiletPaperHanger_1)
Go to Bed_0,NavigateTo(Bed_0)
Go to Bed_1,NavigateTo(Bed_1)
Go to Cup_0,NavigateTo(Cup_0)
Go to Cup_1,NavigateTo(Cup_1)
Go to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Go to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Go to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Go to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Go to Box_0,NavigateTo(Box_0)
