Task,Function
unlock the Blinds_3, OpenObject(Blinds_3)
lift the Blinds_2 up, OpenObject(Blinds_2)
pull up the Blinds_1, OpenObject(Blinds_1)
raise the Blinds_12, OpenObject(Blinds_12)
draw the Blinds_3, OpenObject(Blinds_3)
slide the Blinds_7 open, OpenObject(Blinds_7)
push Blinds_9 open, OpenObject(Blinds_9)
hoist open the Blinds_10, OpenObject(Blinds_10)
uncover the Book_1, OpenObject(Book_1)
flip open the Book_9, OpenObject(Book_9)
Start reading the Book_8, OpenObject(Book_8)
open up the Book_7, OpenObject(Book_7)
crack open the Book_2, OpenObject(Book_2)
spread open the Book_5, OpenObject(Book_5)
pop open Book_2, OpenObject(Book_2)
unbox the Box_6, OpenObject(Box_6)
open the top of Box_4, OpenObject(Box_4)
remove the lid from Box_6, OpenObject(Box_6)
pull off the lid from Box_7, OpenObject(Box_7)
lift off the cover of Box_13, OpenObject(Box_13)
unseal the Box_15, OpenObject(Box_15)
pry open the Box_3, OpenObject(Box_3)
access the Box_27, OpenObject(Box_27)
swing open the Cabinet_5, OpenObject(Cabinet_5)
unlock and open the Cabinet_17, OpenObject(Cabinet_17)
open the Cabinet_29 doors, OpenObject(Cabinet_29)
slide the Cabinet_32 door, OpenObject(Cabinet_32)
pull open the Cabinet_48, OpenObject(Cabinet_48)
unlatch the Cabinet_18, OpenObject(Cabinet_18)
tug open the Cabinet_81 door, OpenObject(Cabinet_81)
extract the Drawer_6, OpenObject(Drawer_6)
slide out the Drawer_18, OpenObject(Drawer_18)
pull out the Drawer_24, OpenObject(Drawer_24)
open Drawer_36, OpenObject(Drawer_36)
unstick the Drawer_42, OpenObject(Drawer_42)
yank open the Drawer_51, OpenObject(Drawer_51)
tug the Drawer_30 open, OpenObject(Drawer_30)
unlatch Fridge_63, OpenObject(Fridge_63)
swing the Fridge_77 door open, OpenObject(Fridge_77)
pull open the Fridge_83, OpenObject(Fridge_83)
open the Fridge_92 to get food, OpenObject(Fridge_92)
break the seal of Fridge_4, OpenObject(Fridge_4)
access the interior of Fridge_9, OpenObject(Fridge_9)
look inside the Fridge_83, OpenObject(Fridge_83)
access the Fridge_2, OpenObject(Fridge_2)
turn on the Kettle_11 by opening its lid, OpenObject(Kettle_11)
lift the lid of Kettle_23, OpenObject(Kettle_23)
open the Kettle_31 to fill it, OpenObject(Kettle_31)
flip the Kettle_47 lid, OpenObject(Kettle_47)
uncover Kettle_53, OpenObject(Kettle_53)
prepare the Kettle_60 for water, OpenObject(Kettle_60)
remove the lid of Kettle_19, OpenObject(Kettle_19)
pull off the lid of Kettle_4, OpenObject(Kettle_4)
activate the Laptop_17 by opening it, OpenObject(Laptop_17)
lift the lid of Laptop_1, OpenObject(Laptop_1)
open Laptop_94, OpenObject(Laptop_94)
flip open the Laptop_3, OpenObject(Laptop_3)
start the Laptop_13 by opening, OpenObject(Laptop_13)
access the Laptop_27, OpenObject(Laptop_27)
raise the screen of Laptop_32, OpenObject(Laptop_32)
swing the Laptop_3 lid upward, OpenObject(Laptop_3)
pull off the LaundryHamperLid_57, OpenObject(LaundryHamperLid_57)
open the LaundryHamperLid_37, OpenObject(LaundryHamperLid_37)
lift the LaundryHamperLid_46, OpenObject(LaundryHamperLid_46)
access the LaundryHamperLid_56, OpenObject(LaundryHamperLid_56)
remove the LaundryHamperLid_66, OpenObject(LaundryHamperLid_66)
flip open the LaundryHamperLid_78, OpenObject(LaundryHamperLid_78)
swing open the LaundryHamperLid_89, OpenObject(LaundryHamperLid_89)
uncover the LaundryHamperLid_3, OpenObject(LaundryHamperLid_3)
open the Microwave_10 to heat food, OpenObject(Microwave_10)
yank open the Microwave_9, OpenObject(Microwave_9)
swing open the Microwave_25 door, OpenObject(Microwave_25)
unlock the Microwave_35, OpenObject(Microwave_35)
lift the Microwave_11 door, OpenObject(Microwave_11)
pull open the Microwave_52, OpenObject(Microwave_52)
access the Microwave_61, OpenObject(Microwave_61)
tug open the door of Microwave_34, OpenObject(Microwave_34)
crack the Safe_15, OpenObject(Safe_15)
unlock the Safe_28, OpenObject(Safe_28)
open the Safe_8, OpenObject(Safe_8)
twist the Safe_49 knob, OpenObject(Safe_49)
break into the Safe_57, OpenObject(Safe_18)
access the contents of Safe_6, OpenObject(Safe_6)
turn knob of Safe_5 to open it, OpenObject(Safe_5)
pry open the Safe_74, OpenObject(Safe_74)
force open the Safe_47, OpenObject(Safe_47)
draw the ShowerCurtain_2, OpenObject(ShowerCurtain_2)
slide the ShowerCurtain_45, OpenObject(ShowerCurtain_45)
pull back the ShowerCurtain_22, OpenObject(ShowerCurtain_22)
open the ShowerCurtain_8 for a bath, OpenObject(ShowerCurtain_8)
reveal the tub by opening ShowerCurtain_19, OpenObject(ShowerCurtain_19)
uncover the ShowerCurtain_4, OpenObject(ShowerCurtain_4)
unveil the ShowerCurtain_18, OpenObject(ShowerCurtain_18)
slide open the ShowerDoor_14, OpenObject(ShowerDoor_14)
access the ShowerDoor_7, OpenObject(ShowerDoor_7)
unlock the ShowerDoor_87, OpenObject(ShowerDoor_87)
swing open the ShowerDoor_6, OpenObject(ShowerDoor_6)
push open ShowerDoor_5, OpenObject(ShowerDoor_5)
pull the ShowerDoor_16 open, OpenObject(ShowerDoor_16)
pry open ShowerDoor_12, OpenObject(ShowerDoor_12)
