Task,Function
Pickup object AlarmClock_0,PickupObject(AlarmClock_0)
Pickup object AlarmClock_1,PickupObject(AlarmClock_1)
Pickup object AlarmClock_2,PickupObject(AlarmClock_2)
Pickup object Apple_0,PickupObject(Apple_0)
Pickup object Apple_1,PickupObject(Apple_1)
Pickup object Apple_2,PickupObject(Apple_2)
Pickup object AppleSliced_0,PickupObject(AppleSliced_0)
Pickup object AppleSliced_1,PickupObject(AppleSliced_1)
Pickup object AppleSliced_2,PickupObject(AppleSliced_2)
Pickup object BaseballBat_0,PickupObject(BaseballBat_0)
Pickup object BaseballBat_1,PickupObject(BaseballBat_1)
Pickup object BaseballBat_2,PickupObject(BaseballBat_2)
Pickup object BasketBall_0,PickupObject(BasketBall_0)
Pickup object BasketBall_1,PickupObject(BasketBall_1)
Pickup object BasketBall_2,PickupObject(BasketBall_2)
Pickup object Book_0,PickupObject(Book_0)
Pickup object Book_1,PickupObject(Book_1)
Pickup object Book_2,PickupObject(Book_2)
Pickup object Boots_0,PickupObject(Boots_0)
Pickup object Boots_1,PickupObject(Boots_1)
Pickup object Boots_2,PickupObject(Boots_2)
Pickup object Bottle_0,PickupObject(Bottle_0)
Pickup object Bottle_1,PickupObject(Bottle_1)
Pickup object Bottle_2,PickupObject(Bottle_2)
Pickup object Bowl_0,PickupObject(Bowl_0)
Pickup object Bowl_1,PickupObject(Bowl_1)
Pickup object Bowl_2,PickupObject(Bowl_2)
Pickup object Box_0,PickupObject(Box_0)
Pickup object Box_1,PickupObject(Box_1)
Pickup object Box_2,PickupObject(Box_2)
Pickup object Bread_0,PickupObject(Bread_0)
Pickup object Bread_1,PickupObject(Bread_1)
Pickup object Bread_2,PickupObject(Bread_2)
Pickup object BreadSliced_0,PickupObject(BreadSliced_0)
Pickup object BreadSliced_1,PickupObject(BreadSliced_1)
Pickup object BreadSliced_2,PickupObject(BreadSliced_2)
Pickup object ButterKnife_0,PickupObject(ButterKnife_0)
Pickup object ButterKnife_1,PickupObject(ButterKnife_1)
Pickup object ButterKnife_2,PickupObject(ButterKnife_2)
Pickup object Candle_0,PickupObject(Candle_0)
Pickup object Candle_1,PickupObject(Candle_1)
Pickup object Candle_2,PickupObject(Candle_2)
Pickup object CD_0,PickupObject(CD_0)
Pickup object CD_1,PickupObject(CD_1)
Pickup object CD_2,PickupObject(CD_2)
Pickup object CellPhone_0,PickupObject(CellPhone_0)
Pickup object CellPhone_1,PickupObject(CellPhone_1)
Pickup object CellPhone_2,PickupObject(CellPhone_2)
Pickup object Cloth_0,PickupObject(Cloth_0)
Pickup object Cloth_1,PickupObject(Cloth_1)
Pickup object Cloth_2,PickupObject(Cloth_2)
Pickup object CreditCard_0,PickupObject(CreditCard_0)
Pickup object CreditCard_1,PickupObject(CreditCard_1)
Pickup object CreditCard_2,PickupObject(CreditCard_2)
Pickup object Cup_0,PickupObject(Cup_0)
Pickup object Cup_1,PickupObject(Cup_1)
Pickup object Cup_2,PickupObject(Cup_2)
Pickup object DishSponge_0,PickupObject(DishSponge_0)
Pickup object DishSponge_1,PickupObject(DishSponge_1)
Pickup object DishSponge_2,PickupObject(DishSponge_2)
Pickup object Egg_0,PickupObject(Egg_0)
Pickup object Egg_1,PickupObject(Egg_1)
Pickup object Egg_2,PickupObject(Egg_2)
Pickup object EggCracked_0,PickupObject(EggCracked_0)
Pickup object EggCracked_1,PickupObject(EggCracked_1)
Pickup object EggCracked_2,PickupObject(EggCracked_2)
Pickup object Fork_0,PickupObject(Fork_0)
Pickup object Fork_1,PickupObject(Fork_1)
Pickup object Fork_2,PickupObject(Fork_2)
Pickup object HandTowel_0,PickupObject(HandTowel_0)
Pickup object HandTowel_1,PickupObject(HandTowel_1)
Pickup object HandTowel_2,PickupObject(HandTowel_2)
Pickup object Kettle_0,PickupObject(Kettle_0)
Pickup object Kettle_1,PickupObject(Kettle_1)
Pickup object Kettle_2,PickupObject(Kettle_2)
Pickup object KeyChain_0,PickupObject(KeyChain_0)
Pickup object KeyChain_1,PickupObject(KeyChain_1)
Pickup object KeyChain_2,PickupObject(KeyChain_2)
Pickup object Knife_0,PickupObject(Knife_0)
Pickup object Knife_1,PickupObject(Knife_1)
Pickup object Knife_2,PickupObject(Knife_2)
Pickup object Ladle_0,PickupObject(Ladle_0)
