Task,Function
Place object ScrubBrush_0,PutObject(ScrubBrush_0)
Place object ScrubBrush_1,PutObject(ScrubBrush_1)
Place object Pan_0,PutObject(Pan_0)
Place object Pan_1,PutObject(Pan_1)
Place object Egg_0,PutObject(Egg_0)
Place object Egg_1,PutObject(Egg_1)
Place object Plunger_0,PutObject(Plunger_0)
Place object Plunger_1,PutObject(Plunger_1)
Place object Book_0,PutObject(Book_0)
Place object Book_1,PutObject(Book_1)
Place object Newspaper_0,PutObject(Newspaper_0)
Place object Newspaper_1,PutObject(Newspaper_1)
Place object Lettuce_0,PutObject(Lettuce_0)
Place object Lettuce_1,PutObject(Lettuce_1)
Place object Egg_0,PutObject(Egg_0)
Place object Egg_1,PutObject(Egg_1)
Place object ToiletPaper_0,PutObject(ToiletPaper_0)
Place object ToiletPaper_1,PutObject(ToiletPaper_1)
Place object Spoon_0,PutObject(Spoon_0)
Place object Spoon_1,PutObject(Spoon_1)
Place object Pot_0,PutObject(Pot_0)
Place object Pot_1,PutObject(Pot_1)
Place object Box_0,PutObject(Box_0)
Place object Box_1,PutObject(Box_1)
Position item ScrubBrush_0,PutObject(ScrubBrush_0)
Position item ScrubBrush_1,PutObject(ScrubBrush_1)
Position item Pan_0,PutObject(Pan_0)
Position item Pan_1,PutObject(Pan_1)
Position item Egg_0,PutObject(Egg_0)
Position item Egg_1,PutObject(Egg_1)
Position item Plunger_0,PutObject(Plunger_0)
Position item Plunger_1,PutObject(Plunger_1)
Position item Book_0,PutObject(Book_0)
Position item Book_1,PutObject(Book_1)
Position item Newspaper_0,PutObject(Newspaper_0)
Position item Newspaper_1,PutObject(Newspaper_1)
Position item Lettuce_0,PutObject(Lettuce_0)
Position item Lettuce_1,PutObject(Lettuce_1)
Position item Egg_0,PutObject(Egg_0)
Position item Egg_1,PutObject(Egg_1)
Position item ToiletPaper_0,PutObject(ToiletPaper_0)
Position item ToiletPaper_1,PutObject(ToiletPaper_1)
Position item Spoon_0,PutObject(Spoon_0)
Position item Spoon_1,PutObject(Spoon_1)
Position item Pot_0,PutObject(Pot_0)
Position item Pot_1,PutObject(Pot_1)
Position item Box_0,PutObject(Box_0)
Position item Box_1,PutObject(Box_1)
Set down item ScrubBrush_0,PutObject(ScrubBrush_0)
Set down item ScrubBrush_1,PutObject(ScrubBrush_1)
Set down item Pan_0,PutObject(Pan_0)
Set down item Pan_1,PutObject(Pan_1)
Set down item Egg_0,PutObject(Egg_0)
Set down item Egg_1,PutObject(Egg_1)
Set down item Plunger_0,PutObject(Plunger_0)
Set down item Plunger_1,PutObject(Plunger_1)
Set down item Book_0,PutObject(Book_0)
Set down item Book_1,PutObject(Book_1)
Set down item Newspaper_0,PutObject(Newspaper_0)
Set down item Newspaper_1,PutObject(Newspaper_1)
Set down item Lettuce_0,PutObject(Lettuce_0)
Set down item Lettuce_1,PutObject(Lettuce_1)
Set down item Egg_0,PutObject(Egg_0)
Set down item Egg_1,PutObject(Egg_1)
Set down item ToiletPaper_0,PutObject(ToiletPaper_0)
Set down item ToiletPaper_1,PutObject(ToiletPaper_1)
Set down item Spoon_0,PutObject(Spoon_0)
