Task,Function
Rotate Right,Rotate(Right)
Rotate Left,Rotate(Left)
Rotate Right,Rotate(Right)
Rotate Right,Rotate(Right)
Rotate Left,Rotate(Left)
Rotate Left,Rotate(Left)
Rotate Right,Rotate(Right)
Rotate Left,Rotate(Left)
Rotate Right,Rotate(Right)
Rotate Right,Rotate(Right)
Rotate Right,Rotate(Right)
Rotate Right,Rotate(Right)
Turn Right,Rotate(Right)
Turn Left,Rotate(Left)
Turn Right,Rotate(Right)
Turn Right,Rotate(Right)
Turn Left,Rotate(Left)
Turn Left,Rotate(Left)
Turn Right,Rotate(Right)
Turn Left,Rotate(Left)
Turn Right,Rotate(Right)
Turn Right,Rotate(Right)
Turn Right,Rotate(Right)
Turn Right,Rotate(Right)
