Task,Function
Cut Bread_0,SliceObject(Bread_0)
Cut Bread_1,SliceObject(Bread_1)
Cut Potato_0,SliceObject(Potato_0)
Cut Potato_1,SliceObject(Potato_1)
Cut Potato_0,SliceObject(Potato_0)
Cut Potato_1,SliceObject(Potato_1)
Cut Lettuce_0,SliceObject(Lettuce_0)
Cut Lettuce_1,SliceObject(Lettuce_1)
Cut Egg_0,SliceObject(Egg_0)
Cut Egg_1,SliceObject(Egg_1)
Cut Potato_0,SliceObject(Potato_0)
Cut Potato_1,SliceObject(Potato_1)
Cut Bread_0,SliceObject(Bread_0)
Cut Bread_1,SliceObject(Bread_1)
Cut Tomato_0,SliceObject(Tomato_0)
Cut Tomato_1,SliceObject(Tomato_1)
Cut Bread_0,SliceObject(Bread_0)
Cut Bread_1,SliceObject(Bread_1)
Cut Tomato_0,SliceObject(Tomato_0)
Cut Tomato_1,SliceObject(Tomato_1)
Cut Potato_0,SliceObject(Potato_0)
Cut Potato_1,SliceObject(Potato_1)
Cut Potato_0,SliceObject(Potato_0)
Cut Potato_1,SliceObject(Potato_1)
Carve Bread_0,SliceObject(Bread_0)
Carve Bread_1,SliceObject(Bread_1)
Carve Potato_0,SliceObject(Potato_0)
Carve Potato_1,SliceObject(Potato_1)
Carve Potato_0,SliceObject(Potato_0)
Carve Potato_1,SliceObject(Potato_1)
Carve Lettuce_0,SliceObject(Lettuce_0)
Carve Lettuce_1,SliceObject(Lettuce_1)
Carve Egg_0,SliceObject(Egg_0)
Carve Egg_1,SliceObject(Egg_1)
Carve Potato_0,SliceObject(Potato_0)
Carve Potato_1,SliceObject(Potato_1)
Carve Bread_0,SliceObject(Bread_0)
Carve Bread_1,SliceObject(Bread_1)
Carve Tomato_0,SliceObject(Tomato_0)
Carve Tomato_1,SliceObject(Tomato_1)
Carve Bread_0,SliceObject(Bread_0)
Carve Bread_1,SliceObject(Bread_1)
Carve Tomato_0,SliceObject(Tomato_0)
Carve Tomato_1,SliceObject(Tomato_1)
Carve Potato_0,SliceObject(Potato_0)
Carve Potato_1,SliceObject(Potato_1)
Carve Potato_0,SliceObject(Potato_0)
Carve Potato_1,SliceObject(Potato_1)
Segment Bread_0,SliceObject(Bread_0)
Segment Bread_1,SliceObject(Bread_1)
Segment Potato_0,SliceObject(Potato_0)
Segment Potato_1,SliceObject(Potato_1)
Segment Potato_0,SliceObject(Potato_0)
Segment Potato_1,SliceObject(Potato_1)
Segment Lettuce_0,SliceObject(Lettuce_0)
Segment Lettuce_1,SliceObject(Lettuce_1)
Segment Egg_0,SliceObject(Egg_0)
Segment Egg_1,SliceObject(Egg_1)
Segment Potato_0,SliceObject(Potato_0)
Segment Potato_1,SliceObject(Potato_1)
Segment Bread_0,SliceObject(Bread_0)
Segment Bread_1,SliceObject(Bread_1)
Segment Tomato_0,SliceObject(Tomato_0)
Segment Tomato_1,SliceObject(Tomato_1)
Segment Bread_0,SliceObject(Bread_0)
Segment Bread_1,SliceObject(Bread_1)
Segment Tomato_0,SliceObject(Tomato_0)
Segment Tomato_1,SliceObject(Tomato_1)
Segment Potato_0,SliceObject(Potato_0)
Segment Potato_1,SliceObject(Potato_1)
Segment Potato_0,SliceObject(Potato_0)
Segment Potato_1,SliceObject(Potato_1)
Divide Bread_0,SliceObject(Bread_0)
Divide Bread_1,SliceObject(Bread_1)
Divide Potato_0,SliceObject(Potato_0)
Divide Potato_1,SliceObject(Potato_1)
Divide Potato_0,SliceObject(Potato_0)
Divide Potato_1,SliceObject(Potato_1)
Divide Lettuce_0,SliceObject(Lettuce_0)
Divide Lettuce_1,SliceObject(Lettuce_1)
Divide Egg_0,SliceObject(Egg_0)
Divide Egg_1,SliceObject(Egg_1)
Divide Potato_0,SliceObject(Potato_0)
Divide Potato_1,SliceObject(Potato_1)
Divide Bread_0,SliceObject(Bread_0)
Divide Bread_1,SliceObject(Bread_1)
Divide Tomato_0,SliceObject(Tomato_0)
Divide Tomato_1,SliceObject(Tomato_1)
Divide Bread_0,SliceObject(Bread_0)
Divide Bread_1,SliceObject(Bread_1)
Divide Tomato_0,SliceObject(Tomato_0)
Divide Tomato_1,SliceObject(Tomato_1)
Divide Potato_0,SliceObject(Potato_0)
Divide Potato_1,SliceObject(Potato_1)
Divide Potato_0,SliceObject(Potato_0)
Divide Potato_1,SliceObject(Potato_1)
Section Bread_0,SliceObject(Bread_0)
Section Bread_1,SliceObject(Bread_1)
Section Potato_0,SliceObject(Potato_0)
Section Potato_1,SliceObject(Potato_1)
Section Potato_0,SliceObject(Potato_0)
Section Potato_1,SliceObject(Potato_1)
