Task,Function
Deactivate object Candle_0,ToggleObjectOff(Candle_0)
Deactivate object Candle_1,ToggleObjectOff(Candle_1)
Deactivate object Candle_2,ToggleObjectOff(Candle_2)
Deactivate object CellPhone_0,ToggleObjectOff(CellPhone_0)
Deactivate object CellPhone_1,ToggleObjectOff(CellPhone_1)
Deactivate object CellPhone_2,ToggleObjectOff(CellPhone_2)
Deactivate object CoffeeMachine_0,ToggleObjectOff(CoffeeMachine_0)
Deactivate object CoffeeMachine_1,ToggleObjectOff(CoffeeMachine_1)
Deactivate object CoffeeMachine_2,ToggleObjectOff(CoffeeMachine_2)
Deactivate object DeskLamp_0,ToggleObjectOff(DeskLamp_0)
Deactivate object DeskLamp_1,ToggleObjectOff(DeskLamp_1)
Deactivate object DeskLamp_2,ToggleObjectOff(DeskLamp_2)
Deactivate object Faucet_0,ToggleObjectOff(Faucet_0)
Deactivate object Faucet_1,ToggleObjectOff(Faucet_1)
Deactivate object Faucet_2,ToggleObjectOff(Faucet_2)
Deactivate object FloorLamp_0,ToggleObjectOff(FloorLamp_0)
Deactivate object FloorLamp_1,ToggleObjectOff(FloorLamp_1)
Deactivate object FloorLamp_2,ToggleObjectOff(FloorLamp_2)
Deactivate object Laptop_0,ToggleObjectOff(Laptop_0)
Deactivate object Laptop_1,ToggleObjectOff(Laptop_1)
Deactivate object Laptop_2,ToggleObjectOff(Laptop_2)
Deactivate object LightSwitch_0,ToggleObjectOff(LightSwitch_0)
Deactivate object LightSwitch_1,ToggleObjectOff(LightSwitch_1)
Deactivate object LightSwitch_2,ToggleObjectOff(LightSwitch_2)
Deactivate object Microwave_0,ToggleObjectOff(Microwave_0)
Deactivate object Microwave_1,ToggleObjectOff(Microwave_1)
Deactivate object Microwave_2,ToggleObjectOff(Microwave_2)
Deactivate object ShowerHead_0,ToggleObjectOff(ShowerHead_0)
Deactivate object ShowerHead_1,ToggleObjectOff(ShowerHead_1)
Deactivate object ShowerHead_2,ToggleObjectOff(ShowerHead_2)
Deactivate object StoveBurner_0,ToggleObjectOff(StoveBurner_0)
Deactivate object StoveBurner_1,ToggleObjectOff(StoveBurner_1)
Deactivate object StoveBurner_2,ToggleObjectOff(StoveBurner_2)
Deactivate object StoveKnob_0,ToggleObjectOff(StoveKnob_0)
Deactivate object StoveKnob_1,ToggleObjectOff(StoveKnob_1)
Deactivate object StoveKnob_2,ToggleObjectOff(StoveKnob_2)
Deactivate object Television_0,ToggleObjectOff(Television_0)
Deactivate object Television_1,ToggleObjectOff(Television_1)
Deactivate object Television_2,ToggleObjectOff(Television_2)
Deactivate object Toaster_0,ToggleObjectOff(Toaster_0)
Deactivate object Toaster_1,ToggleObjectOff(Toaster_1)
Deactivate object Toaster_2,ToggleObjectOff(Toaster_2)
Turn off Candle_0,ToggleObjectOff(Candle_0)
Turn off Candle_1,ToggleObjectOff(Candle_1)
Turn off Candle_2,ToggleObjectOff(Candle_2)
Turn off CellPhone_0,ToggleObjectOff(CellPhone_0)
Turn off CellPhone_1,ToggleObjectOff(CellPhone_1)
Turn off CellPhone_2,ToggleObjectOff(CellPhone_2)
Turn off CoffeeMachine_0,ToggleObjectOff(CoffeeMachine_0)
Turn off CoffeeMachine_1,ToggleObjectOff(CoffeeMachine_1)
Turn off CoffeeMachine_2,ToggleObjectOff(CoffeeMachine_2)
Turn off DeskLamp_0,ToggleObjectOff(DeskLamp_0)
Turn off DeskLamp_1,ToggleObjectOff(DeskLamp_1)
Turn off DeskLamp_2,ToggleObjectOff(DeskLamp_2)
Turn off Faucet_0,ToggleObjectOff(Faucet_0)
Turn off Faucet_1,ToggleObjectOff(Faucet_1)
Turn off Faucet_2,ToggleObjectOff(Faucet_2)
Turn off FloorLamp_0,ToggleObjectOff(FloorLamp_0)
Turn off FloorLamp_1,ToggleObjectOff(FloorLamp_1)
Turn off FloorLamp_2,ToggleObjectOff(FloorLamp_2)
Turn off Laptop_0,ToggleObjectOff(Laptop_0)
Turn off Laptop_1,ToggleObjectOff(Laptop_1)
Turn off Laptop_2,ToggleObjectOff(Laptop_2)
