Task,Function
Activate object Candle_0,ToggleObjectOn(Candle_0)
Activate object Candle_1,ToggleObjectOn(Candle_1)
Activate object Candle_2,ToggleObjectOn(Candle_2)
Activate object CellPhone_0,ToggleObjectOn(CellPhone_0)
Activate object CellPhone_1,ToggleObjectOn(CellPhone_1)
Activate object CellPhone_2,ToggleObjectOn(CellPhone_2)
Activate object CoffeeMachine_0,ToggleObjectOn(CoffeeMachine_0)
Activate object CoffeeMachine_1,ToggleObjectOn(CoffeeMachine_1)
Activate object CoffeeMachine_2,ToggleObjectOn(CoffeeMachine_2)
Activate object DeskLamp_0,ToggleObjectOn(DeskLamp_0)
Activate object DeskLamp_1,ToggleObjectOn(DeskLamp_1)
Activate object DeskLamp_2,ToggleObjectOn(DeskLamp_2)
Activate object Faucet_0,ToggleObjectOn(Faucet_0)
Activate object Faucet_1,ToggleObjectOn(Faucet_1)
Activate object Faucet_2,ToggleObjectOn(Faucet_2)
Activate object FloorLamp_0,ToggleObjectOn(FloorLamp_0)
Activate object FloorLamp_1,ToggleObjectOn(FloorLamp_1)
Activate object FloorLamp_2,ToggleObjectOn(FloorLamp_2)
Activate object Laptop_0,ToggleObjectOn(Laptop_0)
Activate object Laptop_1,ToggleObjectOn(Laptop_1)
Activate object Laptop_2,ToggleObjectOn(Laptop_2)
Activate object LightSwitch_0,ToggleObjectOn(LightSwitch_0)
Activate object LightSwitch_1,ToggleObjectOn(LightSwitch_1)
Activate object LightSwitch_2,ToggleObjectOn(LightSwitch_2)
Activate object Microwave_0,ToggleObjectOn(Microwave_0)
Activate object Microwave_1,ToggleObjectOn(Microwave_1)
Activate object Microwave_2,ToggleObjectOn(Microwave_2)
Activate object ShowerHead_0,ToggleObjectOn(ShowerHead_0)
Activate object ShowerHead_1,ToggleObjectOn(ShowerHead_1)
Activate object ShowerHead_2,ToggleObjectOn(ShowerHead_2)
Activate object StoveBurner_0,ToggleObjectOn(StoveBurner_0)
Activate object StoveBurner_1,ToggleObjectOn(StoveBurner_1)
Activate object StoveBurner_2,ToggleObjectOn(StoveBurner_2)
Activate object StoveKnob_0,ToggleObjectOn(StoveKnob_0)
Activate object StoveKnob_1,ToggleObjectOn(StoveKnob_1)
Activate object StoveKnob_2,ToggleObjectOn(StoveKnob_2)
Activate object Television_0,ToggleObjectOn(Television_0)
Activate object Television_1,ToggleObjectOn(Television_1)
Activate object Television_2,ToggleObjectOn(Television_2)
Activate object Toaster_0,ToggleObjectOn(Toaster_0)
Activate object Toaster_1,ToggleObjectOn(Toaster_1)
Activate object Toaster_2,ToggleObjectOn(Toaster_2)
Turn on Candle_0,ToggleObjectOn(Candle_0)
Turn on Candle_1,ToggleObjectOn(Candle_1)
Turn on Candle_2,ToggleObjectOn(Candle_2)
Turn on CellPhone_0,ToggleObjectOn(CellPhone_0)
Turn on CellPhone_1,ToggleObjectOn(CellPhone_1)
Turn on CellPhone_2,ToggleObjectOn(CellPhone_2)
Turn on CoffeeMachine_0,ToggleObjectOn(CoffeeMachine_0)
Turn on CoffeeMachine_1,ToggleObjectOn(CoffeeMachine_1)
Turn on CoffeeMachine_2,ToggleObjectOn(CoffeeMachine_2)
Turn on DeskLamp_0,ToggleObjectOn(DeskLamp_0)
Turn on DeskLamp_1,ToggleObjectOn(DeskLamp_1)
Turn on DeskLamp_2,ToggleObjectOn(DeskLamp_2)
Turn on Faucet_0,ToggleObjectOn(Faucet_0)
Turn on Faucet_1,ToggleObjectOn(Faucet_1)
Turn on Faucet_2,ToggleObjectOn(Faucet_2)
Turn on FloorLamp_0,ToggleObjectOn(FloorLamp_0)
Turn on FloorLamp_1,ToggleObjectOn(FloorLamp_1)
Turn on FloorLamp_2,ToggleObjectOn(FloorLamp_2)
Turn on Laptop_0,ToggleObjectOn(Laptop_0)
Turn on Laptop_1,ToggleObjectOn(Laptop_1)
Turn on Laptop_2,ToggleObjectOn(Laptop_2)
Turn on LightSwitch_0,ToggleObjectOn(LightSwitch_0)
Turn on LightSwitch_1,ToggleObjectOn(LightSwitch_1)
Turn on LightSwitch_2,ToggleObjectOn(LightSwitch_2)
Turn on Microwave_0,ToggleObjectOn(Microwave_0)
Turn on Microwave_1,ToggleObjectOn(Microwave_1)
