Task,Function
navigate to Shelf_1,NavigateTo(Shelf_1)
switch off Lamp_2,ToggleObjectOff(Lamp_2)
close the Cabinet_1,CloseObject(Cabinet_1)
pick up the Key_1,PickupObject(Key_1)
put the Plate_4 on the Table_6,PutObject(Table_6)
open the Window_4,OpenObject(Window_4)
slice the Cake_1,SliceObject(Cake_1)
toggle on the TV_2,ToggleObjectOn(TV_2)
clean the Mirror_2,CleanObject(Mirror_2)
navigate to the Bed_1,NavigateTo(Bed_1)
switch off the Oven_1,ToggleObjectOff(Oven_1)
close the Drawer_2,CloseObject(Drawer_2)
navigate to the Chair_3,NavigateTo(Chair_3)
switch off the Computer_1,ToggleObjectOff(Computer_1)
open the Box_1,OpenObject(Box_1)
pick up the Glasses_1,PickupObject(Glasses_1)
put the Plate_5 on the Table_7,PutObject(Table_7)
toggle on the LightSwitch_5,ToggleObjectOn(LightSwitch_5)
clean the Window_5,CleanObject(Window_5)
navigate to Table_2,NavigateTo(Table_2)
switch off LightSwitch_2,ToggleObjectOff(LightSwitch_2)
close the Fridge_2,CloseObject(Fridge_2)
pick up the Book_3,PickupObject(Book_3)
put the Plate_2 on the Table_4,PutObject(Table_4)
open the Door_2,OpenObject(Door_2)
slice the Bread_3,SliceObject(Bread_3)
toggle on the LightSwitch_3,ToggleObjectOn(LightSwitch_3)
clean the Window_2,CleanObject(Window_2)
navigate to the Chair_2,NavigateTo(Chair_2)
switch off the Fan_2,ToggleObjectOff(Fan_2)
close the Window_3,CloseObject(Window_3)
navigate to the Desk_1,NavigateTo(Desk_1)
switch off the TV_1,ToggleObjectOff(TV_1)
open the Drawer_1,OpenObject(Drawer_1)
pick up the Pen_1,PickupObject(Pen_1)
put the Plate_3 on the Table_5,PutObject(Table_5)
toggle on the LightSwitch_4,ToggleObjectOn(LightSwitch_4)
clean the Mirror_1,CleanObject(Mirror_1)
navigate to the Sofa_1,NavigateTo(Sofa_1)
go to the Table_1,NavigateTo(Table_1)
turn off the Lamp_2,ToggleObjectOff(Lamp_2)
shut the Closet_1,CloseObject(Closet_1)
grab the Book_3,PickupObject(Book_3)
place the Plate_2 on the Table_4,PutObject(Table_4)
open the Door_2,OpenObject(Door_2)
slice the Bread_3,SliceObject(Bread_3)
switch on the DiningRoomLight_3,ToggleObjectOn(DiningRoomLight_3)
clean the BedroomWindow_2,CleanObject(BedroomWindow_2)
head to the Chair_2,NavigateTo(Chair_2)
power off the CeilingFanSwitch_2,ToggleObjectOff(CeilingFanSwitch_2)
close the BathroomWindow_3,CloseObject(BathroomWindow_3)
reach the OfficeDesk_1,NavigateTo(OfficeDesk_1)
turn off the TV_1,ToggleObjectOff(TV_1)
open the Drawer_1,OpenObject(Drawer_1)
pick up the Pen_1,PickupObject(Pen_1)
put the Plate_3 on the CoffeeTable_5,PutObject(CoffeeTable_5)
turn on the BedroomLight_4,ToggleObjectOn(BedroomLight_4)
wipe the Mirror_1,CleanObject(Mirror_1)
find the BedroomChair_1,NavigateTo(BedroomChair_1)
switch off the LivingRoomLamp_3,ToggleObjectOff(LivingRoomLamp_3)
close the GarageDoor_1,CloseObject(GarageDoor_1)
grab the Notebook_2,PickupObject(Notebook_2)
place the Plate_4 on the DiningTable_6,PutObject(DiningTable_6)
open the ClosetDoor_2,OpenObject(ClosetDoor_2)
slice the Cake_2,SliceObject(Cake_2)
toggle on the KitchenLight_5,ToggleObjectOn(KitchenLight_5)
clean the BathroomMirror_2,CleanObject(BathroomMirror_2)
move to the OfficeChair_2,NavigateTo(OfficeChair_2)
power off the BedroomFan_2,ToggleObjectOff(BedroomFan_2)
shut the BedroomWindow_4,CloseObject(BedroomWindow_4)
reach the StudyDesk_1,NavigateTo(StudyDesk_1)
turn off the Computer_3,ToggleObjectOff(Computer_3)
open the BedroomDrawer_3,OpenObject(BedroomDrawer_3)
pick up the Sunglasses_2,PickupObject(Sunglasses_2)
put the Plate_5 on the SideTable_7,PutObject(SideTable_7)
turn on the BathroomLight_6,ToggleObjectOn(BathroomLight_6)
wipe the BedroomWindow_5,CleanObject(BedroomWindow_5)
navigate to the Bookshelf_1,NavigateTo(Bookshelf_1)
switch off the DeskLamp_4,ToggleObjectOff(DeskLamp_4)
close the Wardrobe_2,CloseObject(Wardrobe_2)
pick up the GlassesCase_1,PickupObject(GlassesCase_1)
put the Plate_6 on the DiningTable_8,PutObject(DiningTable_8)
open the Closet_3,OpenObject(Closet_3)
slice the Cheese_1,SliceObject(Cheese_1)
toggle on the CeilingLight_7,ToggleObjectOn(CeilingLight_7)
clean the BathroomMirror_3,CleanObject(BathroomMirror_3)
navigate to the Armchair_3,NavigateTo(Armchair_3)
switch off the BedroomFan_3,ToggleObjectOff(BedroomFan_3)
close the KitchenWindow_1,CloseObject(KitchenWindow_1)
find the StudyChair_1,NavigateTo(StudyChair_1)
turn off the TV_2,ToggleObjectOff(TV_2)
open the Dresser_1,OpenObject(Dresser_1)
pick up the Phone_2,PickupObject(Phone_2)
put the Plate_7 on the CoffeeTable_9,PutObject(CoffeeTable_9)
turn on the LivingRoomLight_8,ToggleObjectOn(LivingRoomLight_8)
wipe the BedroomWindow_6,CleanObject(BedroomWindow_6)
go to the Bookcase_2,NavigateTo(Bookcase_2)
turn off the DeskLight_5,ToggleObjectOff(DeskLight_5)
close the Pantry_3,CloseObject(Pantry_3)
grab the Notebook_3,PickupObject(Notebook_3)
place the Plate_8 on the DiningTable_10,PutObject(DiningTable_10)
open the Cupboard_2,OpenObject(Cupboard_2)
slice the Cake_3,SliceObject(Cake_3)
switch on the LivingRoomLight_9,ToggleObjectOn(LivingRoomLight_9)
clean the BathroomMirror_4,CleanObject(BathroomMirror_4)
move to the StudyChair_2,NavigateTo(StudyChair_2)
power off the BedroomFan_4,ToggleObjectOff(BedroomFan_4)
shut the BedroomWindow_7,CloseObject(BedroomWindow_7)
reach the WorkDesk_1,NavigateTo(WorkDesk_1)
turn off the Computer_4,ToggleObjectOff(Computer_4)
open the BedroomDrawer_4,OpenObject(BedroomDrawer_4)
pick up the Sunglasses_3,PickupObject(Sunglasses_3)
put the Plate_9 on the SideTable_3,PutObject(SideTable_3)
turn on the BathroomLight_8,ToggleObjectOn(BathroomLight_8)
wipe the BedroomWindow_8,CleanObject(BedroomWindow_8)
navigate to the Bookshelf_3,NavigateTo(Bookshelf_3)
switch off the DeskLamp_6,ToggleObjectOff(DeskLamp_6)
close the Wardrobe_4,CloseObject(Wardrobe_4)
pick up the GlassesCase_2,PickupObject(GlassesCase_2)
put the Plate_10 on the DiningTable_12,PutObject(DiningTable_12)
open the Closet_5,OpenObject(Closet_5)
slice the Cheese_2,SliceObject(Cheese_2)
toggle on the CeilingLight_10,ToggleObjectOn(CeilingLight_10)
clean the BathroomMirror_5,CleanObject(BathroomMirror_5)
navigate to the Armchair_4,NavigateTo(Armchair_4)
switch off the BedroomFan_5,ToggleObjectOff(BedroomFan_5)
close the KitchenWindow_2,CloseObject(KitchenWindow_2)
find the StudyChair_2,NavigateTo(StudyChair_2)
turn off the TV_3,ToggleObjectOff(TV_3)
open the Dresser_2,OpenObject(Dresser_2)
pick up the Phone_3,PickupObject(Phone_3)
put the Plate_11 on the CoffeeTable_13,PutObject(CoffeeTable_13)
turn on the LivingRoomLight_11,ToggleObjectOn(LivingRoomLight_11)
wipe the BedroomWindow_9,CleanObject(BedroomWindow_9)
go to the Bookcase_3,NavigateTo(Bookcase_3)
turn off the DeskLight_7,ToggleObjectOff(DeskLight_7)
close the Pantry_4,CloseObject(Pantry_4)
grab the Notebook_4,PickupObject(Notebook_4)
place the Plate_12 on the DiningTable_14,PutObject(DiningTable_14)
open the Cupboard_3,OpenObject(Cupboard_3)
slice the Cake_4,SliceObject(Cake_4)
switch on the LivingRoomLight_12,ToggleObjectOn(LivingRoomLight_12)
clean the BathroomMirror_6,CleanObject(BathroomMirror_6)
move to the StudyChair_3,NavigateTo(StudyChair_3)
power off the BedroomFan_6,ToggleObjectOff(BedroomFan_6)
shut the BedroomWindow_10,CloseObject(BedroomWindow_10)
reach the WorkDesk_2,NavigateTo(WorkDesk_2)
turn off the Computer_5,ToggleObjectOff(Computer_5)
open the BedroomDrawer_5,OpenObject(BedroomDrawer_5)
pick up the Sunglasses_4,PickupObject(Sunglasses_4)
put the Plate_13 on the SideTable_15,PutObject(SideTable_15)
turn on the BathroomLight_9,ToggleObjectOn(BathroomLight_9)
wipe the BedroomWindow_11,CleanObject(BedroomWindow_11)
go to the Bookshelf_4,NavigateTo(Bookshelf_4)
switch off the DeskLamp_8,ToggleObjectOff(DeskLamp_8)
close the Wardrobe_5,CloseObject(Wardrobe_5)
pick up the GlassesCase_3,PickupObject(GlassesCase_3)
put the Plate_14 on the DiningTable_16,PutObject(DiningTable_16)
open the Closet_6,OpenObject(Closet_6)
slice the Cheese_3,SliceObject(Cheese_3)
toggle on the CeilingLight_13,ToggleObjectOn(CeilingLight_13)
clean the BathroomMirror_7,CleanObject(BathroomMirror_7)
navigate to the Armchair_5,NavigateTo(Armchair_5)
switch off the BedroomFan_7,ToggleObjectOff(BedroomFan_7)
close the KitchenWindow_3,CloseObject(KitchenWindow_3)
find the StudyChair_4,NavigateTo(StudyChair_4)
turn off the TV_4,ToggleObjectOff(TV_4)
open the Dresser_3,OpenObject(Dresser_3)
pick up the Phone_4,PickupObject(Phone_4)
put the Plate_15 on the CoffeeTable_17,PutObject(CoffeeTable_17)
turn on the LivingRoomLight_13,ToggleObjectOn(LivingRoomLight_13)
wipe the BedroomWindow_12,CleanObject(BedroomWindow_12)
go to the Bookcase_5,NavigateTo(Bookcase_5)
turn off the DeskLight_9,ToggleObjectOff(DeskLight_9)
close the Pantry_6,CloseObject(Pantry_6)
grab the Notebook_5,PickupObject(Notebook_5)
place the Plate_16 on the DiningTable_18,PutObject(DiningTable_18)
open the Cupboard_4,OpenObject(Cupboard_4)
slice the Cake_5,SliceObject(Cake_5)
switch on the LivingRoomLight_14,ToggleObjectOn(LivingRoomLight_14)
clean the BathroomMirror_8,CleanObject(BathroomMirror_8)
move to the StudyChair_5,NavigateTo(StudyChair_5)
power off the BedroomFan_8,ToggleObjectOff(BedroomFan_8)
shut the BedroomWindow_13,CloseObject(BedroomWindow_13)
reach the WorkDesk_3,NavigateTo(WorkDesk_3)
turn off the Computer_6,ToggleObjectOff(Computer_6)
open the BedroomDrawer_6,OpenObject(BedroomDrawer_6)
pick up the Sunglasses_5,PickupObject(Sunglasses_5)
put the Plate_17 on the SideTable_19,PutObject(SideTable_19)
turn on the BathroomLight_10,ToggleObjectOn(BathroomLight_10)
wipe the BedroomWindow_14,CleanObject(BedroomWindow_14)
