Step,Pre-Action,Action,Success,Coverage,Transport Rate,Finished
0,"['navigate to object ReservoirYork', 'navigate to object ReservoirYork', 'navigate to object ReservoirYork', 'explore']","['NavigateTo(ReservoirYork)', 'NavigateTo(ReservoirYork)', 'NavigateTo(ReservoirYork)', 'Explore()']","[True, True, True, True]",0.2,0.07142857142857142,False
1,"['get supply ReservoirYork', 'get supply ReservoirYork', 'get supply ReservoirYork', 'explore']","['GetSupply(ReservoirYork)', 'GetSupply(ReservoirYork)', 'GetSupply(ReservoirYork)', 'Explore()']","[True, True, True, True]",0.2,0.14285714285714285,False
2,"['use supply Water on SussexFire_Region_1', 'use supply Water on SussexFire_Region_1', 'use supply Water on SussexFire_Region_1', 'explore']","['UseSupply(SussexFire, Water)', 'UseSupply(SussexFire, Water)', 'UseSupply(SussexFire, Water)', 'Explore()']","[False, False, False, True]",0.4,0.14285714285714285,False
3,"['navigate to object SussexFire_Region_1', 'navigate to object SussexFire_Region_1', 'navigate to object SussexFire_Region_1', 'explore']","['NavigateTo(SussexFire_Region_1)', 'NavigateTo(SussexFire_Region_1)', 'NavigateTo(SussexFire_Region_1)', 'Explore()']","[True, True, True, True]",0.4,0.21428571428571427,False
4,"['Use supply Water on SussexFire_Region_1', 'Use supply Water on SussexFire_Region_1', 'Use supply Water on SussexFire_Region_1', 'Explore']","['UseSupply(SussexFire, Water)', 'UseSupply(SussexFire, Water)', 'UseSupply(SussexFire, Water)', 'Explore()']","[True, True, True, True]",0.4,0.35714285714285715,False
5,"['explore', 'explore', 'explore', 'explore']","['Explore()', 'Explore()', 'Explore()', 'Explore()']","[True, True, True, True]",0.4,0.5,False
6,"['navigate to object LostPersonJacob', 'navigate to object LostPersonJacob', 'navigate to object LostPersonZoe', 'navigate to object LostPersonZoe']","['NavigateTo(LostPersonJacob)', 'NavigateTo(LostPersonJacob)', 'NavigateTo(LostPersonZoe)', 'NavigateTo(LostPersonZoe)']","[True, True, True, True]",0.8,0.6428571428571429,False
7,"['carry LostPersonJacob', 'carry LostPersonJacob', 'carry LostPersonZoe', 'carry LostPersonZoe']","['Carry(LostPersonJacob)', 'Carry(LostPersonJacob)', 'Carry(LostPersonZoe)', 'Carry(LostPersonZoe)']","[True, True, True, True]",0.8,0.7857142857142857,False
8,"['navigate to object DepositFacility', 'navigate to object DepositFacility', 'navigate to object DepositFacility', 'navigate to object DepositFacility']","['NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)']","[True, True, True, True]",1.0,0.8571428571428571,False
9,"['dropoff LostPersonJacob at DepositFacility', 'dropoff LostPersonJacob at DepositFacility', 'dropoff LostPersonZoe at DepositFacility', 'dropoff LostPersonZoe at DepositFacility']","['DropOff(DepositFacility, LostPersonJacob)', 'DropOff(DepositFacility, LostPersonJacob)', 'DropOff(DepositFacility, LostPersonZoe)', 'DropOff(DepositFacility, LostPersonZoe)']","[True, True, True, True]",1.0,1.0,True
10,"['Done', 'Done', 'Done', 'Done']","['Done', 'Done', 'Done', 'Done']","[True, True, True, True]",1.0,1.0,True
