steps	balance	coverage	success rate	transport rate
13	0.8	1	1	1
30	0.91666666	1	0	0.7142857143
30	0.9545454545	1	1	1
30	0.7857142857	0.75	0	0.2857142857
30	0.5	1	0	0.3571428571
30	0.5263157895	0.75	0	0.5
24	0.4615384615	1	0	0.75
30	0.5833333333	1	0	0.5
30	0.6315789474	1	0	0.6666666667
25	0.25	1	0	0.6666666667
30	0.3684210526	0.75	0	0.5
30	0.5	1	0	0.8333333333
30	0.4615384615	0.5	0	0.1666666667
30	0.9	0.75	0	0.25
30	0.15	1	0	0.1666666667
30	1	1	0	0.7857142857
30	0.8571428571	1	0	0.8571428571
30	0.4375	1	0	0.7857142857
30	0.2777777778	1	0	0.8571428571
30	0.9	1	0	0.2857142857
30	1	0.5	0	0.33333333
30	0.5714285714	0.75	0	0.1666666666
30	0.4545454545	0.75	0	0.4166666667
30	0.3684210526	1	0	0.8333333333
30	0.3333333333	1	0	0.5833333333
30	0.8888888889	1	0	0.3333333333
30	0.3333333333	1	0	0.6666666667
30	0.5789473684	1	1	1
30	0.5333333333	1	0	0.8333333333
30	0.5	1	0	0.8333333333
30	0.875	0.75	0	0.8333333333
30	0.75	0.75	0	0.6666666667
30	0.4615384615	1	0	0.5
30	0.7777777778	1	0	0.5
30	0.6842105263	0.5	0	0.25
30	0.6	0.5	0	0.25
30	0.8333333333	0.5	0	0.125
30	0.7142857143	1	0	0.5
7	1	1	1	1
30	0.5454545455	1	1	1
8	0.6	1	1	1
30	0.8888888889	1	1	1
30	0.5714285714	0.5	0	0.375
30	0.5714285714	0.5	0	0.25
30	1	0.5	0	0.375
30	0.375	1	0	0.875
30	0.4615384615	1	0	0.5
