steps	balance        coverage	success rate	transport rate
30	      0.6 1         1        1  
20	      0.8666666667 1         1         1  
27	      0.8095238095 1         1         1  
30	      0.4444444444 1         1         1  
21	      0.7368421053 1         1         1  
14	      0.8181818182 1         1         1  
15	      0.6666666667 1         1         1  
30	      0.9166666667 1         1         1  
24	      0.9411764706 1         1         1  
30	      0.8888888889 1         1         1  
14	      0.9090909091 1         1         1  
13	      0.9090909091 1         1         1  
30	      0.7727272727 1         0         0.5833333333  
14	      0.9090909091 1         0         0.75  
30	      0.9473684211 1         0         0.75  
30	      0.7391304348 1         0         0.5833333333  
30	      0.8095238095 1         0         0.6666666667  
30	      0.875 0.75  	0	0.5
30	      0.8571428571 0.75  	0	0.625
30	      0.8823529412 0.75  	0	0.75
30	      0.8125 0.5  	0	0.5
30	      0.8823529412 0.5  	0	0.375
30	      0.5714285714 1  	1	1
30	      0.7222222222 1  	1	1
6	      1 1  	1	1
8	      0.5714285714 1  	1	1
5	      1 1  	1	1
30	      0.9473684211 1  		0
30	      0.8947368421 1  		0
30	      0.7727272727 0.75  	0	0.375
30	      0.7333333333 1  		1
30	      0.7222222222 0.75  	0	0.5
20	      1 1  	1	1
19	      0.8125 1  	1	1
30	      1 1  	0	0.6666666667
30	      0.8 1  	0	0.6666666667
30	      0.8518518519 0.75  	0	0.6666666667
30	      0.6363636364 1  	0	0.8333333333
14	      0.9090909091 1  	1	1
30	      0.9444444444 1  	0	0.4166666667
30	      0.3793103448 1  	1	1
30	      0.5909090909 1  	1	1
30	      0.7826086957 1  	0	0.3333333333
30	      0.8888888889 1  	1	1
9	      1 1  	1	1
20	      0.875 1  	1	1
30	      0.7857142857 1  	0	0.6666666667
