steps	balance	coverage	success rate	transport rate
14	1	1	1	1
20	0.9230769231	1	1	1
17	0.6923076923	1	1	1
11	1	1	1	1
30	0.6666666667	1	1	1
30	0.7777777778	1	0	0.5833333333
8	0.5714285714	1	0	0.6666666667
30	0.6666666667	0.75	0	0.25
30	0.6071428571	0.75	0	0.4166666667
30	0.9047619048	1	0	0.75
30	0.8846153846	0.75	0	0.6666666667
13	0.75	1	1	1
10	1	1	1	1
12	0.8888888889	0.75	0	0.6666666667
30	0.92	1	1	1
26	0.619047619	1	1	1
13	0.7272727273	1	1	1
18	0.7333333333	1	1	1
28	0.5	1	1	1
29	0.8947368421	1	1	1
28	0.68	1	1	1
30	1	1	1	1
30	0.5555555556	1	0	0.9166666667
10	0.875	1	1	1
30	0.8846153846	1	1	1
13	1	1	1	1
29	1	1	1	1
30	0.8	0.75	0	0.3333333333
30	0.9375	0.75	0	0.5
30	0.8928571429	0.75	0	0.6666666667
30	1	1	1	1
30	0.5909090909	1	0	0.875
24	0.8888888889	1	1	1
12	1	1	1	1
30	0.9375	1	0	0.875
30	0.7857142857	1	1	1
15	0.625	1	1	1
9	0.3333333333	1	1	1
6	1	1	1	1
30	1	1	1	1
30	0.8421052632	0.75	0	0.75
30	1	1	0	0.875
30	0.9444444444	1	1	1
30	0.9047619048	1	0	0.75
30	0.9473684211	0.75	0	0.625
