steps	balance	coverage	success rate	transport rate
2	0.5	0.75	0	0.5
4	1	0.5	0	0.25
30	0.8181818182	1	0	0.875
3	0.6666666667	0.25	0	0.125
16	0.5714285714	1	1	1
6	0.5	1	1	1
10	0.2857142857	1	1	1
8	1	1	1	1
30	0.6666666667	1	1	1
11	0.8571428571	1	1	1
30	0.7619047619	1	1	1
30	0.7777777778	1	1	1
30	0.7142857143	1	0	0.25
30	0.7777777778	1	0	0.875
30	0.9047619048	0.5	0	0.25
17	0.7692307692	1	1	1
30	0.76	1	1	1
30	0.6	1	0	0.5833333333
30	0.6666666667	1	0	0.8333333333
30	0.9	0.75	0	0.6666666667
30	0.6363636364	1	0	0.8333333333
30	0.6363636364	0.75	0	0.4166666667
30	0.7	1	0	0.1666666667
30	0.75	1	0	0.9166666667
30	0.6363636364	1	0	0.9166666667
30	0.6	1	0	0.5833333333
30	0.7647058824	1	1	1
16	0.9230769231	1	1	1
12	1	1	1	1
17	0.9166666667	1	1	1
9	1	1	1	1
11	1	1	1	1
30	0.3157894737	1	0	0.3333333333
30	0.8571428571	1	0	0.6666666667
30	0.6153846154	1	0	0.5
30	0.6923076923	0.75	0	0.6666666667
30	0.7272727273	1	0	0.9166666667
30	0.5833333333	0.75	0	0.3333333333
30	0.5	1	0	0.5
30	0.1176470588	0.75	0	0.3333333333
30	0.7692307692	1	0	0.5833333333
30	0.6666666667	1	0	0.5833333333
30	0.6428571429	1	0	0.8571428571
30	0.3888888889	1	0	0.8571428571
30	0.1739130435	1	0	0.8571428571
30	0.3333333333	1	0	0.6428571429
30	0.2857142857	0.5	0	0.2857142857
